d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
100000,1.0,1,50,960617640.4344128,655410774.4542412,1.465672640542592
100000,1.0,2,1,4997167.648542326,5208026.9421154475,0.959512633879065
100000,1.0,2,10,49971658.484975845,37133209.28785674,1.3457403613459695
100000,1.0,2,50,249858284.42747003,184997211.7313157,1.3506056771837003
100000,1.0,4,1,1343853.2467111377,1510958.5403454443,0.8894044481219835
100000,1.0,4,10,13438514.467084434,10773119.072052618,1.2474116713279744
100000,1.0,4,50,67192564.33666612,53671546.79768619,1.2519215179310397
100000,1.0,8,1,381268.03537050524,458483.21824764233,0.8315855852428811
100000,1.0,8,10,3812662.353743153,3268972.1574478964,1.1663183930938459
100000,1.0,8,50,19063303.76854902,16285973.560056454,1.170535104840422
100000,1.0,16,1,116597.36525350905,148138.5688155455,0.7870831086446506
100000,1.0,16,10,1165955.652523377,1056215.4355851775,1.103899463348971
100000,1.0,16,50,5829770.262727694,5262045.134370488,1.1078905850975989
